Apparel & Accessories_hashtag,Apparel & Accessories_rank_today,Apparel & Accessories_rank_prev_state,Apparel & Accessories_rank_delta,Appliances_hashtag,Appliances_rank_today,Appliances_rank_prev_state,Appliances_rank_delta,Apps_hashtag,Apps_rank_today,Apps_rank_prev_state,Apps_rank_delta,"Baby, Kids & Maternity_hashtag","Baby, Kids & Maternity_rank_today","Baby, Kids & Maternity_rank_prev_state","Baby, Kids & Maternity_rank_delta",Beauty & Personal Care_hashtag,Beauty & Personal Care_rank_today,Beauty & Personal Care_rank_prev_state,Beauty & Personal Care_rank_delta,Business Services_hashtag,Business Services_rank_today,Business Services_rank_prev_state,Business Services_rank_delta,E-Commerce (Non-app)_hashtag,E-Commerce (Non-app)_rank_today,E-Commerce (Non-app)_rank_prev_state,E-Commerce (Non-app)_rank_delta,Education_hashtag,Education_rank_today,Education_rank_prev_state,Education_rank_delta,Financial Services_hashtag,Financial Services_rank_today,Financial Services_rank_prev_state,Financial Services_rank_delta,Food & Beverage_hashtag,Food & Beverage_rank_today,Food & Beverage_rank_prev_state,Food & Beverage_rank_delta,Games_hashtag,Games_rank_today,Games_rank_prev_state,Games_rank_delta,Health_hashtag,Health_rank_today,Health_rank_prev_state,Health_rank_delta,Home Improvement_hashtag,Home Improvement_rank_today,Home Improvement_rank_prev_state,Home Improvement_rank_delta
65k men,327,422,95,don’t miss out,48,62,14,get 15% off,54,176,122,baby monitor,16,19,3,buy it,247,331,84,the top,138,158,20,dress,52,72,20,free trial,15,22,7,credit history,89,137,48,no sugar,56,74,18,at night,362,433,71,discover how,163,207,44,new app,88,124,36
for $29,307,389,82,buy 1,51,65,14,use code: ae15,53,170,117,limited time,19,22,3,roll-on,343,427,84,up to 40% off,102,120,18,shopblackfriday,107,127,20,learn more,2,4,2,get relief,123,147,24,protein smoothie,48,60,12,new characters,434,468,34,check out,237,279,42,new app users,89,125,36
last day promotion,310,392,82,speakers,42,54,12,find out who called,376,474,98,mattress,20,23,3,this deal,280,351,71,take your,84,101,17,now live,73,90,17,100% online,3,5,2,debt relief program,129,144,15,stress-free,49,61,12,win the game,262,295,33,boost energy,239,281,42,bamboo sheets,81,114,33
suitcase,360,442,82,don’t miss,43,55,12,remote control,397,454,57,playmat,21,24,3,our website,396,461,65,for warehouse workers,63,78,15,this week only,147,164,17,speak like a leader,1,2,1,business funding,101,115,14,swedish candy,50,62,12,1 mahjong game,436,469,33,learn more now,236,277,41,game changer,104,133,29
v-neck,333,410,77,good deal,41,52,11,real life,384,439,55,your baby,6,8,2,drleodryinglotion,260,324,64,for free today,163,178,15,make it,149,165,16,learn how,7,8,1,take advantage,78,91,13,help you,43,54,11,play the sweetest game,439,471,32,hear clearly without the hassle,128,168,40,modular sofa,120,146,26
your love,334,411,77,stock up,40,50,10,1 free,407,462,55,baby carrier,15,17,2,skin tone,399,463,64,next level,107,121,14,now in,150,166,16,high school,9,10,1,bad credit,28,38,10,delicious meals made simple,52,63,11,tap to build,234,263,29,get it,198,235,37,hot sleepers,122,147,25
lowest price,301,375,74,limited time,27,36,9,live now,213,267,54,moms,23,25,2,transform your skin,400,464,64,the next level,108,122,14,must-have,152,168,16,financial aid,26,27,1,this ramadan,55,65,10,free meal,53,64,11,mobile game,360,386,26,self-care,201,237,36,check it,126,149,23
refresh your look,297,370,73,shop now,28,37,9,tap here,369,423,54,20 % off,5,6,1,best deal,401,465,64,now open,150,163,13,tap the,175,191,16,learn spanish,27,28,1,americans,74,81,7,for a limited time,54,65,11,get 30 billion diamonds,423,449,26,liver support,203,239,36,try this,128,150,22
turn heads,329,402,73,curling iron,25,33,8,find love your way,379,433,54,free shipping,14,15,1,shop discount sale,402,466,64,for cash,151,164,13,best sellers,176,192,16,from home,28,29,1,free consultation,85,92,7,high-quality,45,55,10,casual and easy mahjong game,411,436,25,free guide,212,248,36,brand new,64,85,21
buy 3,351,424,73,laser beauty treatments,26,34,8,live video,367,419,52,baby,1,1,0,like it,390,453,63,swipe left to learn,153,166,13,sold out,177,193,16,make it,34,35,1,health benefits,88,95,7,for dinner,46,56,10,please download,372,393,21,full dental implants,213,249,36,all day,116,137,21
game changer,300,372,72,thermal brush,39,47,8,your friends,202,253,51,kids,2,2,0,undereye corrector,240,302,62,tap to,155,167,12,use code: ae15,17,32,15,online hs diploma,35,36,1,insurance,22,28,6,love it,66,76,10,watch me,332,352,20,your money back,226,259,33,helps you,130,151,21
smart ring,385,457,72,nugget ice maker,45,53,8,tap in,364,412,48,diaper bag,3,3,0,buy 2 get,395,457,62,this app,149,160,11,this season,108,123,15,parents,6,6,0,see if you qualify,43,49,6,high protein,61,70,9,playing this game,144,161,17,find out,138,170,32,must have,118,138,20
buy 2 get free 2,313,383,70,hair dryer,16,23,7,download and join now,178,225,47,your kids,4,4,0,hair color,405,467,62,start now,157,168,11,your home,154,169,15,earn your degree,11,11,0,pet insurance,45,51,6,miss out,62,71,9,try one,295,309,14,wake up,185,217,32,good deal,137,155,18
wide-leg jeans,326,396,70,your home,24,31,7,starts here,210,254,44,toy,9,9,0,i’m so impressed,366,426,60,apply now,158,169,11,exclusive deals,155,170,15,free workshop,12,12,0,free case review,71,77,6,olive oil,63,72,9,sharpen your mind,433,444,11,rainbow light vitamins,218,250,32,seniors,72,89,17
only $99,357,427,70,vacuumsealer,34,41,7,see for yourself,252,293,41,for babies,10,10,0,give it,364,423,59,join our,159,170,11,shop the collection,174,189,15,sign up,13,13,0,don’t wait,73,79,6,make it,81,90,9,great mind relaxer,432,442,10,weight loss journey,166,197,31,bathrooms,73,90,17
blue light,373,443,70,flat iron,36,43,7,dating,70,110,40,babytoys,11,11,0,summerfridays #summerfridayslipbalm,389,448,59,get your dream,173,184,11,non-gmo,179,194,15,help you,14,14,0,19 a month,81,87,6,sour candy,80,88,8,ready to run your casino,441,450,9,get up to 50%,167,198,31,the right,75,92,17
all-day comfort,280,349,69,air purifier,37,44,7,try out,237,277,40,baby clothes,12,12,0,tranexamic acid,386,443,57,your house,174,185,11,flash sale now,180,195,15,learn more today,23,23,0,save up to 90%,82,88,6,every time,83,91,8,your reward,430,438,8,posture corrector,172,203,31,transform your home,78,95,17
free today,384,453,69,coffee maker,38,45,7,social app,301,341,40,shop now,13,13,0,silky smooth,372,428,56,sell your house,176,187,11,clearance sale,55,69,14,trading class,24,24,0,get your,83,89,6,click the link,84,92,8,helps you,428,435,7,the top,187,218,31,upgrade your space,79,96,17
uniform,292,360,68,every time,44,51,7,call app,272,310,38,toys,8,7,-1,cosmetics,252,307,55,house painting service,177,188,11,check out,81,95,14,get started,25,25,0,try it,84,90,6,always free,36,43,7,sweeping away the boredom,444,451,7,it now,189,220,31,check it out,114,131,17
full coverage,322,390,68,must have,49,56,7,fake call,273,311,38,winter,17,16,-1,essential oil,375,430,55,senior apartments,178,189,11,your summer,82,96,14,career training,30,30,0,insurance program,142,148,6,micro ingredients,71,78,7,virtual slots,445,452,7,get free,220,251,31,home decor,115,132,17
try it,156,223,67,straightener,53,60,7,fake call app,305,343,38,for kids,7,5,-2,deal ends tonight,379,434,55,20 % off,161,171,10,jean,90,104,14,enroll now,31,31,0,1/day,104,109,5,try this,73,80,7,can play,446,453,7,glow up,223,254,31,dream home,103,119,16
discover now,267,333,66,this black friday,23,29,6,for $0/month,306,344,38,kid,18,14,-4,join us live now,383,438,55,schedule a tour today,55,64,9,jeans,91,105,14,your children,32,32,0,home loans,116,121,5,out now,74,81,7,tap the,471,478,7,money back,192,222,30,10 new years clearance sale,101,116,15
womensclothing,285,351,66,diffuser,33,39,6,try this app for free,319,357,38,my kids,22,18,-4,pads,384,439,55,fast and easy,58,67,9,35% off,143,157,14,hs diploma,33,33,0,limited spots,140,145,5,grab yours,75,82,7,win today,232,238,6,get 30%,231,261,30,tool set,87,101,14
scrubs,229,293,64,acne,52,58,6,you try,203,239,36,,,,,vitamin c serum,385,440,55,link in our bio,145,154,9,for 20% off,144,158,14,learna ai,8,7,-1,relief program,141,146,5,good deal,77,84,7,the right,469,475,6,get 30% off,232,262,30,bamboo,29,42,13
fits all sizes,321,382,61,at home,15,20,5,this game mocks me,216,252,36,,,,,shop discount,351,404,53,our website,146,155,9,join our,72,84,12,product marketing,10,9,-1,life insurance program,144,149,5,milk,67,73,6,up now,470,476,6,100% online,104,133,29,ergonomicchair,47,60,13
8 pieces,142,202,60,cordless vacuum,35,40,5,need quick cash,422,458,36,,,,,tiktok shop discount,352,405,53,use code,147,156,9,my code,80,92,12,apply today,16,15,-1,apply in minutes,19,23,4,probiotics,32,37,5,win cash,473,479,6,book a free consultation,149,177,28,coffee table,68,81,13
grab it,288,348,60,black friday sale,14,18,4,pay off,412,447,35,,,,,fabletics scrubs,357,410,53,try free,172,181,9,for 20,86,98,12,apply now,17,16,-1,"5,000 same day loans",25,29,4,try it,31,35,4,you guys,474,480,6,swipe left to learn more,150,178,28,clearance sale,98,111,13
click to,216,274,58,amazing deal,17,21,4,try free,425,460,35,,,,,grab the,378,431,53,for eligible tenants,90,98,8,top picks,113,125,12,free,18,17,-1,5000 cash,26,30,4,amazing deal,34,38,4,claim the red planet,249,254,5,your free consultation,171,199,28,new favorite,99,112,13
get 15% off,217,275,58,christmas,31,35,4,100 % free,426,461,35,,,,,hair regrowth,269,320,51,one tap,165,173,8,made easy,141,153,12,your child,19,18,-1,see if you,27,31,4,teasathome,37,41,4,fight zombies and escape,353,358,5,stock up,238,266,28,blackout curtains,100,113,13
exciting content,251,309,58,great deal,12,15,3,this amazing,172,206,34,,,,,more confident,341,392,51,try for free today,167,175,8,75% off,142,154,12,dental assistant,20,19,-1,help you,39,43,4,right now,38,42,4,game now for free,354,359,5,hemorrhoids problems,159,186,27,carpet,109,122,13
these jeans,309,367,58,right now,21,24,3,take a look,335,369,34,,,,,orange cart,342,393,51,don’t wait,171,179,8,refresh your wardrobe,74,85,11,starts here,21,20,-1,39/month,58,62,4,peanut butter,44,48,4,epic 2025 game,356,361,5,health care,242,269,27,comforter set,71,82,11
giftsforhim,355,413,58,shopblackfriday,29,32,3,create your viral dance video,345,379,34,,,,,eye patches,349,400,51,disability benefits,61,68,7,get 15%,121,132,11,discover how,22,21,-1,your free,60,64,4,hot honey,26,29,3,mmorpg game,394,399,5,let's talk,243,270,27,shower head,91,102,11
baggysweats,370,428,58,hairtools,20,22,2,fun communication,418,452,34,,,,,wigreview,271,321,50,schedule a tour,32,38,6,the link in bio,122,133,11,become a certified ai master,5,3,-2,click to,62,66,4,check the product page,41,44,3,fun to play,427,432,5,for health,256,283,27,ringdoorbell,94,105,11
14k gold plated,372,430,58,blow dryer,46,48,2,get paid to play,419,453,34,,,,,discount sale,287,337,50,sign up,59,65,6,unique items,137,148,11,ai tutor,4,1,-3,save up to 25%,66,70,4,teas,42,45,3,download it,449,454,5,80% off,259,286,27,adjustable bed,55,65,10
starts here,215,272,57,knee pain,47,49,2,the next level,385,418,33,,,,,check your coupons,289,339,50,home,111,117,6,all day,138,149,11,medical assistant,29,26,-3,click the,67,71,4,50 %off,6,8,2,most popular,452,457,5,blue tube,158,184,26,fast shipping,62,72,10
try these,350,407,57,humidifier,2,3,1,scan it,387,420,33,,,,,healthier hair,346,396,50,check out,135,141,6,save big,139,150,11,,,,,click the link,98,102,4,limited time,19,21,2,brand new,468,473,5,day sale,241,267,26,for neck comfort,74,84,10
cowgirlboots,359,416,57,fan,11,12,1,get reward now,391,424,33,,,,,must try,347,397,50,it now,136,142,6,scrubs,160,171,11,,,,,the right,99,103,4,dubai,22,24,2,for free now,270,274,4,over 40,246,272,26,at home,96,106,10
the right,211,267,56,black friday,1,1,0,clap to find,392,425,33,,,,,full-size,266,315,49,get 20%,141,147,6,take 20% off,164,175,11,,,,,start saving,100,104,4,order now,28,30,2,play today,271,275,4,use this,261,287,26,elevate your space,97,107,10
in style,213,269,56,camera,4,4,0,caller id app,394,427,33,,,,,body mist,283,332,49,paint by number,143,149,6,tap to,172,183,11,,,,,drivers,102,106,4,your cart,65,67,2,grow your,361,365,4,starts here,253,278,25,are here,53,62,9
get yours today,214,270,56,drone,5,5,0,for fun,410,443,33,,,,,give it a try,340,389,49,paint by number sets,144,150,6,20% off everything,173,184,11,,,,,for contractors,106,110,4,granola,87,89,2,code: deerhunter,257,260,3,get a free maleexcel assessment,272,297,25,metal,84,93,9
49% off,352,408,56,juicer,6,6,0,game-changer,431,464,33,,,,,toner pads,329,375,46,contact us,38,43,5,right now,54,64,10,,,,,from $39/month,107,111,4,fish and chips,4,5,1,earn rewards,274,277,3,register now for free,82,106,24,cloud-like,133,142,9
gold plated,362,418,56,blender,7,7,0,amazing app,187,219,32,,,,,get perfect eyebrows effortlessly,333,379,46,free shipping,43,48,5,get 90% off,77,87,10,,,,,get cash,113,117,4,get 50%,24,25,1,clear tiles,293,296,3,for men,147,171,24,dining table,134,143,9
ridge wallet,377,433,56,digitalcamera,10,10,0,photos and videos,390,422,32,,,,,at-home,338,384,46,link in bio,51,56,5,cute,96,106,10,,,,,build credit,114,118,4,use code,25,26,1,slot games,301,304,3,see if you qualify today,274,298,24,dresser,135,144,9
unibling colored lenses,378,434,56,vacuum,3,2,-1,get 50%,408,440,32,,,,,5 star rated sweat care,300,345,45,get paid,52,57,5,get started,97,107,10,,,,,get your free,115,119,4,neuro gum,39,40,1,join now,302,305,3,holiday sale,80,103,23,for spring,136,145,9
lifetime warranty,149,204,55,free shipping,9,8,-1,every time,164,195,31,,,,,sweat care,301,346,45,real time,56,61,5,shop new,98,108,10,,,,,apply before midnight,139,143,4,flash sale,58,59,1,start your journey,319,322,3,register now,105,128,23,washable rugs,45,53,8
straight leg,276,331,55,massager,13,11,-2,interior designer,403,434,31,,,,,scrub set,327,372,45,apartments,57,62,5,the end,99,109,10,,,,,emergency loan,24,27,3,protein coffee,1,1,0,try your daily heist,322,325,3,wonderful deal,114,137,23,for real,48,56,8
i’m obsessed,316,371,55,neckmassager,30,28,-2,gift cards,434,465,31,,,,,spray,337,382,45,create an account,67,72,5,garage clothing,104,114,10,,,,,own your home,41,44,3,tea,2,2,0,train your iq,327,330,3,missing teeth,135,158,23,real life,59,67,8
built to last,330,385,55,air fryer,32,30,-2,perfect match,435,466,31,,,,,check out,303,347,44,tiktok ads,68,73,5,don’t wait,119,129,10,,,,,check out,42,45,3,coffee,3,3,0,world awaits your hunt,334,337,3,the end,137,160,23,transform your space,63,71,8
10 new years clearance sale,137,191,54,vacuum cleaner,19,16,-3,transform your home,466,497,31,,,,,perfumecollection,257,300,43,hvac company,82,87,5,gift guide,125,135,10,,,,,100% online,57,60,3,free shipping,7,7,0,can you beat this level,393,396,3,take your,186,209,23,muddy mat,80,88,8
everyday comfort,278,332,54,steam cleaner,22,19,-3,pregnancy tracker app,469,500,31,,,,,free returns,318,360,42,homes,113,118,5,every moment,128,138,10,,,,,explore your options today,65,68,3,gummies,12,12,0,tap and play,458,461,3,neuropathy cream,271,294,23,changed my skin,31,38,7
high-waist leggings,179,232,53,mini,18,14,-4,find your match,121,151,30,,,,,grab the bundle,325,367,42,no experience,140,145,5,each week,136,146,10,,,,,loan,69,72,3,zero sugar,13,13,0,most people,161,163,2,only 4$/day,116,138,22,blackfridaydeals,66,73,7
click to see,231,284,53,huge sale,50,42,-8,up for some prank fun,139,169,30,,,,,kojic acid,326,368,42,window contractors,33,37,4,best price,162,172,10,,,,,debit card,70,73,3,your first order,16,16,0,new players,291,293,2,reach out,123,145,22,grab yours,127,134,7
time offer,157,209,52,bluetoothspeaker,8,,,make beats on the go,232,262,30,,,,,laser treatment,239,280,41,tour today,37,41,4,denim,168,178,10,,,,,per month,93,96,3,meal prep,17,17,0,can you connect them all,337,339,2,mental health,129,151,22,5 minutes,129,136,7
10 new years clearance,205,257,52,,,,,low on funds,233,263,30,,,,,for daily,309,350,41,find out if you qualify,78,82,4,flash sale,47,56,9,,,,,insurance quotes,95,98,3,off your first order,20,20,0,get high score,341,343,2,book a free,145,167,22,wake up,40,46,6
one pair,289,341,52,,,,,create your own,235,265,30,,,,,every time,244,284,40,click to get,85,89,4,your first order,48,57,9,,,,,this is crazy,96,99,3,candy,5,4,-1,top 1,366,368,2,in turkey,184,206,22,bath filter,43,49,6
size xs,403,455,52,,,,,your home,236,266,30,,,,,try them,312,352,40,hvac companies,86,90,4,great deal,134,143,9,,,,,us drivers,97,100,3,clears morning grogginess,10,9,-1,chase your dreams,389,391,2,drop inches feel powerful,211,233,22,check out,44,50,6
find the,189,240,51,,,,,christmas,405,435,30,,,,,smooth skin,200,239,39,ads manager,87,91,4,get high,135,144,9,,,,,cash back,109,112,3,gummy,11,10,-1,build your roadside empire,399,401,2,sale is live,86,107,21,professional painting services,22,27,5
easy returns,202,253,51,,,,,got you,406,436,30,,,,,best razor ever,206,245,39,free consultation,88,92,4,limited time only,171,180,9,,,,,personal loans,110,113,3,first order,15,14,-1,limited time only,457,459,2,link in bio,118,139,21,mattresspad,25,30,5
it now,208,259,51,,,,,at $3.99,222,251,29,,,,,sale prices,235,274,39,time insights,93,97,4,get 15% off,11,19,8,,,,,click the link below,111,114,3,electrolytes,23,22,-1,best mmorpg game,462,464,2,free services,127,148,21,purple,30,35,5
yours today,271,322,51,,,,,new favorite,226,255,29,,,,,link in bio,243,282,39,new home,120,124,4,don’t miss,30,38,8,,,,,swipe left,120,123,3,made easy,29,28,-1,craft stunning gems,463,465,2,it works,140,161,21,mattresses,36,41,5
classy,287,338,51,,,,,for women,227,256,29,,,,,grab this,248,287,39,new app,121,125,4,off your first order,58,66,8,,,,,save money,121,124,3,try now,40,39,-1,limited time,287,288,1,neocell collagen,183,204,21,sleep brand everyone's talking about,61,66,5
workbag,343,394,51,,,,,get rewarded,228,257,29,,,,,glueless design,139,177,38,new app users,122,126,4,buy 1 get 1 free,102,110,8,,,,,your free smartphone,126,129,3,per serving,76,75,-1,share this,299,300,1,clinically trusted glucose gel,209,230,21,that restores relaxed mornings,113,118,5
most comfortable everyday earrings,344,395,51,,,,,your baby,240,269,29,,,,,60 % off,157,195,38,at home,133,137,4,swipe left to learn more,51,58,7,,,,,before midnight,138,141,3,iced coffee,86,85,-1,survive the ultimate wasteland,300,301,1,free consultation today,92,112,20,link in bio,125,130,5
free 2,127,177,50,,,,,transform your hair in seconds,241,270,29,,,,,don’t miss out,208,246,38,for your business,134,138,4,discover more,60,67,7,,,,,your car,17,19,2,health tea,21,19,-2,get high,339,340,1,holiday sale is live,93,113,20,save up to 66%,8,12,4
sold out soon,164,214,50,,,,,lock screen,266,295,29,,,,,live now,123,160,37,40%off,139,143,4,online now,84,91,7,,,,,best deals,44,46,2,women,33,31,-2,install and play,369,370,1,now for free,94,114,20,living room,28,32,4
"everyday look, elevated",187,237,50,,,,,that free,378,407,29,,,,,every single,212,249,37,legal consultation services,29,32,3,sweatpants,105,112,7,,,,,check out the best deals,50,52,2,that's it,35,33,-2,music game,370,371,1,over40 #over50,168,188,20,pressure washer,70,74,4
use code: ae15,204,254,50,,,,,design your dream home,399,428,29,,,,,your cart,251,288,37,professional cleaning services nearby,42,45,3,2 free,106,113,7,,,,,check eligibility,53,55,2,tap to,85,83,-2,play cs on the go,381,382,1,for fast blood sugar recovery,180,200,20,get it,95,99,4
this winter,286,336,50,,,,,cleanyourgallery,438,467,29,,,,,setting spray,319,356,37,resume builder,76,79,3,get paid,132,139,7,,,,,home insurance,54,56,2,get 50% off,9,6,-3,rule the galaxy,382,383,1,glucose gel,181,201,20,40% off,14,17,3
for the girls,399,449,50,,,,,fixing your hair,439,468,29,,,,,perfect for daily wear,138,174,36,see how,92,95,3,for new app users,21,27,6,,,,,insurance coverage,124,126,2,chocolate,14,11,-3,save your people now,383,384,1,braces,207,227,20,right now,19,22,3
t-shirts,402,452,50,,,,,digital camera,463,492,29,,,,,thicker hair,176,212,36,make it,124,127,3,new app,22,28,6,,,,,low on funds,125,127,2,start your day,18,15,-3,sponge it,384,385,1,great deal today only,208,228,20,great deal,41,44,3
buy 2 get,100,149,49,,,,,free time,464,493,29,,,,,body lotion,127,162,35,click the link,125,128,3,new app users,23,29,6,,,,,donate now,134,136,2,check the,30,27,-3,the end,386,387,1,glow-up,214,234,20,sleep better,49,52,3
must-have,133,182,49,,,,,cash back,465,494,29,,,,,any time,217,252,35,quick & easy,13,15,2,off white,35,41,6,,,,,miss this,136,138,2,matcha,69,66,-3,survive chaos,403,404,1,take control of your,200,219,19,bedding,51,54,3
new favorite,184,233,49,,,,,this free,103,131,28,,,,,at any time,219,254,35,professional delivery services,16,18,2,miss out,36,42,6,,,,,your family,137,139,2,every day,82,79,-3,must be,409,410,1,best price,206,225,19,in your home,105,108,3
cap,295,344,49,,,,,which hairstyle suits you,206,234,28,,,,,click to,185,219,34,find out,26,28,2,cloth,69,75,6,,,,,apply now,3,4,1,great deal,27,23,-4,real life,410,411,1,every day,101,119,18,grab it,106,109,3
push up bra,298,347,49,,,,,stress-free,218,246,28,,,,,tintedbrowgel,195,229,34,cleaning services,31,33,2,clothes,70,76,6,,,,,offer expires today,6,7,1,check the product,51,46,-5,made it,465,466,1,now available,154,172,18,rugs,21,23,2
for $49,197,245,48,,,,,new users,264,292,28,,,,,this men,117,149,32,5 minutes,47,49,2,70%off,75,81,6,,,,,for free,8,9,1,variety pack,57,50,-7,must be 18,466,467,1,over 30,193,211,18,office chair,37,39,2
grab it now,108,155,47,,,,,meet people near you live,380,408,28,,,,,whitening toothpaste,224,256,32,create an account today,75,77,2,free gift today,93,99,6,,,,,boost your credit,13,14,1,get your,60,53,-7,get 500 free spins,282,282,0,shop now,74,91,17,miss out,76,78,2
love it,170,217,47,,,,,racing games,381,409,28,,,,,tap the,231,262,31,try for free,100,102,2,pant,111,117,6,,,,,save big,33,34,1,15% off,64,57,-7,get real flowers delivered,307,307,0,ashwagandha,84,101,17,don’t miss out,77,79,2
special offer,194,241,47,,,,,pay later,442,470,28,,,,,dentures,274,303,29,flexible rent payments,101,103,2,pants,112,118,6,,,,,no credit check,34,35,1,stock up,55,47,-8,"6,000,000 welcome free coins",312,312,0,don’t miss out,165,182,17,shop now,5,6,1
only $3.99,257,304,47,,,,,trusted by millions,445,473,28,,,,,major double discount today,268,296,28,homes for sale,103,105,2,girls,50,55,5,,,,,click to learn more,36,37,1,current price,59,51,-8,experience free,315,315,0,learn more on our site,197,214,17,sofa,6,7,1
save big,265,312,47,,,,,0/month,448,476,28,,,,,teethcleaning,273,301,28,try it now,127,129,2,discover new,92,97,5,,,,,life insurance,49,50,1,energydrinks,78,68,-10,download today,344,344,0,ed pill,65,81,16,your home,10,11,1
diamond ring,105,151,46,,,,,phone service,451,479,28,,,,,see why,276,304,28,act now,128,130,2,get up,110,115,5,,,,,qualify today,52,53,1,liquid iv,79,69,-10,tap to spin your luck,377,377,0,blood sugar,164,180,16,christmas,15,16,1
gear up,227,273,46,,,,,tap to watch the drama,452,480,28,,,,,this is my favorite,397,425,28,financial planning,132,134,2,are here,32,36,4,,,,,your business,77,78,1,snacks,47,36,-11,play instantly in your browser,392,392,0,for kids,178,194,16,solar lights,67,68,1
eyewear,306,352,46,,,,,get more,454,482,28,,,,,teethwhitening #whiteteeth,421,449,28,grow your tiktok fast,6,7,1,hoodie,57,61,4,,,,,financial freedom,92,93,1,protein bars,70,58,-12,join us,405,405,0,miss out,221,236,15,sheetset,82,83,1
push up,311,357,46,,,,,for a limited time,455,483,28,,,,,79%off only today,422,450,28,tiktok promote,7,8,1,grab yours,66,70,4,,,,,car loans,131,132,1,dubai chocolate,68,49,-19,defense game,407,407,0,take control,106,120,14,your phone,85,86,1
corset,318,364,46,,,,,download the app today,457,485,28,,,,,grab yours,423,451,28,cleaning jobs,12,13,1,for men,67,71,4,,,,,debt relief options,133,134,1,at home,72,52,-20,can you pass,408,408,0,pcos,107,121,14,low prices,119,120,1
size m,366,412,46,,,,,the link in bio,459,487,28,,,,,add to cart,279,306,27,smart wardrobe upgrade plan,19,20,1,amazing deal,116,120,4,,,,,car insurance,1,1,0,cookie,8,,,see how,348,347,-1,click to,108,122,14,free shipping,1,1,0
crossnecklace,374,420,46,,,,,find your perfect,461,489,28,,,,,best selling,282,309,27,get your,24,25,1,join us live now,28,31,3,,,,,rated bbb,2,2,0,,,,,download now and play,351,350,-1,creatine,110,124,14,mattress,2,2,0
back in stock,97,142,45,,,,,more fun,462,490,28,,,,,christmas sale,285,312,27,grow your business,25,26,1,stock up,31,34,3,,,,,get results instantly,5,5,0,,,,,discover something new,379,378,-1,less stress,112,126,14,blanket,3,3,0
pajamaset,250,295,45,,,,,edit videos,136,163,27,,,,,magneticlashes,387,414,27,apply today,45,46,1,join our livestream now,34,37,3,,,,,credit check,10,10,0,,,,,choose a robot,166,164,-2,see if you,142,156,14,50% off,4,4,0
size medium,320,365,45,,,,,voice changer,146,173,27,,,,,starts here,391,418,27,professional painting services,49,50,1,mask,42,45,3,,,,,apply today,11,11,0,,,,,see what you can do,167,165,-2,listen up,244,258,14,day sale,13,13,0
suit,332,377,45,,,,,no credit checks,209,236,27,,,,,the end,392,419,27,explore affordable apartment rentals nearby,50,51,1,first order,46,49,3,,,,,your home,12,12,0,,,,,play,205,203,-2,better sleep,70,83,13,comforter,18,18,0
see more,221,265,44,,,,,free download now,220,247,27,,,,,miss this,393,420,27,start dashing today,74,75,1,join our live,118,121,3,,,,,learn more,15,15,0,,,,,best simulation game,415,413,-2,30% off,79,92,13,lights,24,24,0
miss out,119,162,43,,,,,15% off,270,297,27,,,,,35% off,394,421,27,professional excavator services,98,99,1,off sitewide,38,40,2,,,,,get approved,16,16,0,,,,,top 1 saving doggy game,419,417,-2,the right,136,149,13,smartcamera,26,26,0
soft fabrics,130,173,43,,,,,transform your screen,375,402,27,,,,,stoothpaste,420,447,27,roofing industry,106,107,1,high-quality,63,65,2,,,,,refinance your home,40,40,0,,,,,see what,156,153,-3,blood flow,141,154,13,pillows,9,8,-1
this bra,112,154,42,,,,,"messages, organized and safe",444,471,27,,,,,this winter,427,454,27,start your free,109,110,1,buy 2,101,103,2,,,,,check out the,48,48,0,,,,,survival game,187,184,-3,heart health,247,260,13,shower filter,16,15,-1
buy one get,145,187,42,,,,,first order,156,182,26,,,,,full coverage,175,201,26,30% off,110,111,1,full-size,124,126,2,,,,,loan options,61,61,0,,,,,have a try,417,414,-3,lose weight,49,61,12,limited time,20,19,-1
buy one get one,146,188,42,,,,,"25¢ or $8,000",176,202,26,,,,,use code,181,207,26,in dubai,118,119,1,for spring,5,6,1,,,,,try this,4,3,-1,,,,,idle rpg,418,415,-3,get your,66,78,12,amazing deal,34,33,-1
get one free,158,200,42,,,,,delicious meals made simple,249,275,26,,,,,daily use,263,289,26,earn money,130,131,1,live now,7,8,1,,,,,do this,7,6,-1,,,,,play games,152,148,-4,click the,67,79,12,luxury bedding,35,34,-1
two piece set,186,228,42,,,,,discover exciting live streams,261,287,26,,,,,for hair,284,310,26,bedroom apartments,131,132,1,up to 40% off,9,10,1,,,,,get results,9,8,-1,,,,,piano game,178,174,-4,crazy deal,124,136,12,mattress topper,46,45,-1
girl,237,279,42,,,,,free meal,262,288,26,,,,,discounts may vary,381,407,26,learn more,1,1,0,winter sale,14,15,1,,,,,do this instead,14,13,-1,,,,,this piano game totally pops,179,175,-4,dental care,235,247,12,up to 50% off,58,57,-1
