Apparel & Accessories_hashtag,Apparel & Accessories_rank_today,Apparel & Accessories_rank_prev_state,Apparel & Accessories_rank_delta,Appliances_hashtag,Appliances_rank_today,Appliances_rank_prev_state,Appliances_rank_delta,Apps_hashtag,Apps_rank_today,Apps_rank_prev_state,Apps_rank_delta,"Baby, Kids & Maternity_hashtag","Baby, Kids & Maternity_rank_today","Baby, Kids & Maternity_rank_prev_state","Baby, Kids & Maternity_rank_delta",Beauty & Personal Care_hashtag,Beauty & Personal Care_rank_today,Beauty & Personal Care_rank_prev_state,Beauty & Personal Care_rank_delta,Business Services_hashtag,Business Services_rank_today,Business Services_rank_prev_state,Business Services_rank_delta,E-Commerce (Non-app)_hashtag,E-Commerce (Non-app)_rank_today,E-Commerce (Non-app)_rank_prev_state,E-Commerce (Non-app)_rank_delta,Education_hashtag,Education_rank_today,Education_rank_prev_state,Education_rank_delta,Financial Services_hashtag,Financial Services_rank_today,Financial Services_rank_prev_state,Financial Services_rank_delta,Food & Beverage_hashtag,Food & Beverage_rank_today,Food & Beverage_rank_prev_state,Food & Beverage_rank_delta,Games_hashtag,Games_rank_today,Games_rank_prev_state,Games_rank_delta,Health_hashtag,Health_rank_today,Health_rank_prev_state,Health_rank_delta,Home Improvement_hashtag,Home Improvement_rank_today,Home Improvement_rank_prev_state,Home Improvement_rank_delta
this bra,92,112,20,,,,,meal prep,169,197,28,,,,,skin tone,375,399,24,grow your,2,2,0,out now,155,157,2,,,,,do this instead,15,14,-1,,,,,play for free now,473,492,19,clinically proven,215,222,7,for a limited time,61,57,-4
10 new years clearance sale,117,137,20,,,,,healthy eating made effortless,171,199,28,,,,,perfect for daily wear,115,138,23,go viral,3,3,0,for spring,4,5,1,,,,,apply in minutes,20,19,-1,,,,,super fun,474,493,19,see why,27,33,6,pillows,14,9,-5
get one free,138,158,20,,,,,photo book app,173,201,28,,,,,link in bio,220,243,23,try promote,4,4,0,up to 40% off,8,9,1,,,,,credit score,69,68,-1,,,,,download for free,477,496,19,50% off,91,97,6,smartcamera,31,26,-5
for $49,177,197,20,,,,,free meal,234,262,28,,,,,click the link,313,336,23,for free,5,5,0,for a limited time,12,13,1,,,,,loan,70,69,-1,,,,,tap to build,216,234,18,liver support,197,203,6,furniture,32,27,-5
see more,201,221,20,,,,,drawing app,143,170,27,,,,,spray,314,337,23,swipe left to learn more,17,17,0,winter sale,13,14,1,,,,,got you,73,72,-1,,,,,want to play,227,245,18,in detroit,210,216,6,get it,100,95,-5
bluelightglasses,203,223,20,,,,,sign up today,164,191,27,,,,,our website,373,396,23,help you,18,18,0,new arrivals,15,16,1,,,,,credit card debt,123,122,-1,,,,,claim the red planet,231,249,18,permanent teeth are 24hrs away,3,8,5,shopblackfriday,29,23,-6
crossbody,210,230,20,,,,,new users,237,264,27,,,,,christmasgiftideas,381,404,23,smart wardrobe upgrade plan,19,19,0,don’t miss out,17,18,1,,,,,do this,9,7,-2,,,,,do you want to play,232,250,18,affordable dental implants,13,18,5,in your home,111,105,-6
wear it,240,260,20,,,,,try it today,54,80,26,,,,,hair color,382,405,23,get started,20,20,0,are here,31,32,1,,,,,don’t wait,75,73,-2,,,,,play your favorite songs,240,258,18,liquid collagen,25,30,5,christmas,22,15,-7
buy 2 get free 2,293,313,20,,,,,up for some prank fun,113,139,26,,,,,laser treatment,217,239,22,professional cleaning service job,21,21,0,your first order,47,48,1,,,,,the right,101,99,-2,,,,,fun game,476,494,18,support your daily glucose balance,42,47,5,curtains,77,69,-8
diamonds,413,433,20,,,,,every time,138,164,26,,,,,kids,243,265,22,in style,39,39,0,swipe left to learn more,50,51,1,,,,,apply today,14,11,-3,,,,,thousands of music,206,223,17,shop now,69,74,5,metal,92,84,-8
go check it out,112,131,19,,,,,find someone,160,186,26,,,,,fix it,328,350,22,one tap,165,165,0,cloth,68,69,1,,,,,see if you,30,27,-3,,,,,fight and test your skill,207,224,17,less stress,107,112,5,sheets,52,42,-10
40%off,162,181,19,,,,,which hairstyle suits you,180,206,26,,,,,best deal,379,401,22,promote it today,16,15,-1,clothes,69,70,1,,,,,100% online,60,57,-3,,,,,create your own,209,226,17,for daily comfort,108,113,5,blackfridaydeals,76,66,-10
corset,299,318,19,,,,,high-quality,186,212,26,,,,,shop discount sale,380,402,22,roofing contractors,23,22,-1,now in,149,150,1,,,,,get cash,117,113,-4,,,,,win today,215,232,17,kind patches,199,204,5,bamboo,41,29,-12
tank top,335,354,19,,,,,transform your look,387,413,26,,,,,dental implants,109,130,21,get your,25,24,-1,shop now,1,1,0,,,,,help you,44,39,-5,,,,,hit the,218,235,17,permanent teeth,5,9,4,black friday,71,56,-15
womenswear,337,356,19,,,,,make your picks today,421,447,26,,,,,glueless design,118,139,21,cleaning services,32,31,-1,free shipping,2,2,0,,,,,home equity,95,90,-5,,,,,can you win,272,289,17,for free,7,11,4,pressure washer,87,70,-17
crossnecklace,355,374,19,,,,,fast and easy,127,152,25,,,,,get 1 free,137,158,21,see the link,42,41,-1,join now,3,3,0,,,,,debt relief,36,30,-6,,,,,epic battles,301,318,17,fda approved,9,13,4,bamboo sheets,98,81,-17
buy one get one free,108,126,18,,,,,dream home,136,161,25,,,,,use code,160,181,21,click the,120,119,-1,20 % off,10,10,0,,,,,insurance coverage,130,124,-6,,,,,be the best,187,203,16,29* voucher,32,36,4,solar lights,85,67,-18
free 2,109,127,18,,,,,start now,140,165,25,,,,,major double discount today,247,268,21,grow your tiktok fast,8,6,-2,get 15% off,11,11,0,,,,,low on funds,131,125,-6,,,,,get ready,190,206,16,claim your $29,33,37,4,comforter set,89,71,-18
every day,164,182,18,,,,,that easy,141,166,25,,,,,your teeth,295,316,21,more followers,10,8,-2,right now,54,54,0,,,,,see if you qualify,50,43,-7,,,,,try for free,193,209,16,your $29,34,38,4,duvet cover,119,92,-27
i love this,263,281,18,,,,,no credit checks,184,209,25,,,,,roll-on,322,343,21,find out,28,26,-2,this week only,147,147,0,,,,,your business,84,77,-7,,,,,tower defense,201,217,16,click the,63,67,4,sleep better,84,49,-35
blackfridaydeals,330,348,18,,,,,take a look,310,335,25,,,,,double discount,324,345,21,free shipping,45,43,-2,limited time,5,4,-1,,,,,apply now for more details,32,23,-9,,,,,get lost,202,218,16,get started,74,78,4,chair,25,,
click the,345,363,18,,,,,perfect 4k wallpaper,199,223,24,,,,,healthier hair,325,346,21,free today,67,65,-2,winter,7,6,-1,,,,,get started,68,59,-9,,,,,don’t miss,235,251,16,every day,97,101,4,neckpain,46,,
14k gold plated,354,372,18,,,,,tap now,313,337,24,,,,,must try,326,347,21,plumbing as your new path,99,97,-2,15% off,16,15,-1,,,,,available now,39,29,-10,,,,,download to get,276,292,16,flash sale,98,102,4,wallpaper,83,,
diamond ring,88,105,17,,,,,weight loss,317,341,24,,,,,shop discount,330,351,21,try it,101,99,-2,use code,20,19,-1,,,,,check your options today,89,79,-10,,,,,teas,369,385,16,blood flow,137,141,4,,,,
check it out,151,168,17,,,,,50m+ downloads,324,348,24,,,,,tiktok shop discount,331,352,21,construction software,30,27,-3,for new app users,22,21,-1,,,,,check out,53,42,-11,,,,,much fun,112,127,15,new patients,22,25,3,,,,
work boots,186,203,17,,,,,voice changer,123,146,23,,,,,sun damage,385,406,21,planner,98,95,-3,new app,23,22,-1,,,,,check out the,59,48,-11,,,,,survival game,172,187,15,exam and consultation,23,26,3,,,,
try these,333,350,17,,,,,get cash,124,147,23,,,,,healthy hair,94,114,20,made easy,163,160,-3,new app users,24,23,-1,,,,,this is crazy,107,96,-11,,,,,new amazing game,173,188,15,see this,61,64,3,,,,
lifetime warranty,133,149,16,,,,,delicious meals made simple,226,249,23,,,,,body lotion,107,127,20,click to learn more,15,11,-4,sale is live,34,33,-1,,,,,business funding,112,101,-11,,,,,action pvp shooter,174,189,15,wonderful deal,111,114,3,,,,
love it,154,170,16,,,,,download the app now,308,331,23,,,,,buy 2,164,184,20,take your,88,84,-4,off sitewide,39,38,-1,,,,,best deals,56,44,-12,,,,,install now,237,252,15,book a free,142,145,3,,,,
check it,157,173,16,,,,,download and join now,156,178,22,,,,,fine lines and wrinkles,167,187,20,try for free,104,100,-4,live now,9,7,-2,,,,,pay off debt faster,115,103,-12,,,,,get 500 free spins,267,282,15,free guide,209,212,3,,,,
formal,319,335,16,,,,,see for yourself,230,252,22,,,,,that girl,294,314,20,apply now,162,158,-4,black friday,14,12,-2,,,,,1/day,116,104,-12,,,,,clear tiles,278,293,15,prostate relief gel,113,115,2,,,,
clearance sale,71,86,15,,,,,ai chat,231,253,22,,,,,clear skin,319,339,20,get paid,57,52,-5,get 1 free,27,25,-2,,,,,check out the best deals,64,50,-14,,,,,share this,284,299,15,e27 liquid collagen,11,12,1,,,,
sports bra,325,340,15,,,,,free reading,320,342,22,,,,,ava 65% off,102,121,19,ssd or ssi,96,91,-5,join us live now,30,28,-2,,,,,start saving,118,100,-18,,,,,one tap,334,349,15,madmuscles,21,22,1,,,,
tank,326,341,15,,,,,watching now,321,343,22,,,,,hair dye shampoo,148,167,19,new york,142,137,-5,low prices,81,79,-2,,,,,health benefits,120,88,-32,,,,,play cs on the go,366,381,15,free consultation,40,41,1,,,,
workbag,328,343,15,,,,,fixing your hair,417,439,22,,,,,double discount today,273,292,19,hvac contractors,52,46,-6,basedbodyworks,90,88,-2,,,,,up to $5000,90,,,,,,,so much fun,114,128,14,5 star reviews,43,44,1,,,,
get one,101,115,14,,,,,join millions of creators today,428,450,22,,,,,3.4 oz,82,100,18,financial planning,138,132,-6,shop our,44,41,-3,,,,,yours now,122,,,,,,,choose a robot,152,166,14,dental implants,1,1,0,,,,
super comfortable,276,290,14,,,,,find your match,100,121,21,,,,,chocolate brown,147,165,18,tap to,161,155,-6,code ae15,43,39,-4,,,,,new car,124,,,,,,,see what you can do,153,167,14,collagen,2,2,0,,,,
necklaces,369,383,14,,,,,tracking now,108,129,21,,,,,try our,152,170,18,window contractors,40,33,-7,online now,89,84,-5,,,,,,,,,,,,,tag a friend,157,171,14,great deal,10,10,0,,,,
buy 1 get 1 free,16,29,13,,,,,ar drawing app,154,175,21,,,,,undereyebags,252,270,18,gelpen,41,34,-7,30% off,57,49,-8,,,,,,,,,,,,,your free,184,198,14,24 hours,14,14,0,,,,
15% off,45,58,13,,,,,more for free,223,244,21,,,,,discount today,272,290,18,roofing as your new path,47,40,-7,sweatpants,113,105,-8,,,,,,,,,,,,,life is merge,312,326,14,for the new patients,15,15,0,,,,
get free,66,79,13,,,,,do everything you want,224,245,21,,,,,fade spots,276,294,18,turn it,79,72,-7,women,94,85,-9,,,,,,,,,,,,,download today,330,344,14,your $29* voucher,19,19,0,,,,
buy 2,77,90,13,,,,,tracking app,265,286,21,,,,,based bodyworks,302,320,18,find out if you qualify,85,78,-7,girls,60,50,-10,,,,,,,,,,,,,music game,356,370,14,calms your prostate down,46,46,0,,,,
click to see more,93,106,13,,,,,music app,282,303,21,,,,,kojic acid,308,326,18,find the,87,80,-7,get started,109,97,-12,,,,,,,,,,,,,play right here,357,371,14,multivitamin,71,71,0,,,,
buy one,94,107,13,,,,,edit photos,283,304,21,,,,,lipmask,335,353,18,40%off,146,139,-7,shop new,110,98,-12,,,,,,,,,,,,,discover something new,365,379,14,rainbow light,173,173,0,,,,
colored contacts,221,234,13,,,,,for $0/month,285,306,21,,,,,major double discount,336,354,18,more information,155,148,-7,garage clothing,116,104,-12,,,,,,,,,,,,,see what,143,156,13,back pain,176,176,0,,,,
pajamaset,237,250,13,,,,,no bots,301,322,21,,,,,neckcream,337,355,18,this app,156,149,-7,60 % off,121,109,-12,,,,,,,,,,,,,test yourself,298,311,13,click that link,230,230,0,,,,
for everyday,241,254,13,,,,,turn your insights into trades,402,423,21,,,,,batana oil,338,356,18,find out more,68,60,-8,dress,66,52,-14,,,,,,,,,,,,,it's time,374,387,13,women,4,3,-1,,,,
24 hours,70,82,12,,,,,must-have,407,428,21,,,,,stretch marks,349,367,18,your phone,112,104,-8,amazing deal,130,116,-14,,,,,,,,,,,,,can you do better,86,98,12,men,8,7,-1,,,,
black friday sale,155,167,12,,,,,game-changer,410,431,21,,,,,spf 50,424,442,18,real time,65,56,-9,hoodie,72,57,-15,,,,,,,,,,,,,apocalyptic wasteland,147,159,12,"adjustment, exam and consultation",17,16,-1,,,,
new favorite,172,184,12,,,,,chat here,96,116,20,,,,,pomade,437,455,18,for warehouse workers,72,63,-9,40% off,75,56,-19,,,,,,,,,,,,,your friends,171,183,12,help you,18,17,-1,,,,
click to see,219,231,12,,,,,now online,97,117,20,,,,,tired eyes,87,104,17,new app,131,121,-10,get free,140,120,-20,,,,,,,,,,,,,solve it,224,236,12,permanent teeth in 24 hours,30,29,-1,,,,
yours today,259,271,12,,,,,location tracking,268,288,20,,,,,eau de parfum spray,89,106,17,new app users,132,122,-10,men,93,71,-22,,,,,,,,,,,,,your turn,241,253,12,your free,52,51,-1,,,,
full coverage,310,322,12,,,,,limited time,290,310,20,,,,,brush,126,143,17,professional cleaning services nearby,53,42,-11,day sale,85,62,-23,,,,,,,,,,,,,slot games,289,301,12,limited time,53,52,-1,,,,
tummy control,80,91,11,,,,,get started today,293,313,20,,,,,full coverage,158,175,17,explore affordable apartment rentals nearby,62,50,-12,get up,134,110,-24,,,,,,,,,,,,,get real flowers delivered,295,307,12,for men,148,147,-1,,,,
wide leg,124,135,11,,,,,check it out,307,327,20,,,,,for hair,267,284,17,boost your online presence,91,79,-12,great deal,160,134,-26,,,,,,,,,,,,,test your brain,402,414,12,your free consultation,172,171,-1,,,,
contact lenses,188,199,11,,,,,stay on,433,453,20,,,,,for your hair,300,317,17,personalised trauma plan,82,69,-13,shoe,67,37,-30,,,,,,,,,,,,,solve daily crosswords,200,211,11,learn more,6,4,-2,,,,
matching set,228,239,11,,,,,this free,84,103,19,,,,,worth the hype,348,365,17,gel pens,118,105,-13,pant,152,111,-41,,,,,,,,,,,,,free gift,219,230,11,try it,29,27,-2,,,,
bodysuitshapewear,266,277,11,,,,,from $0.99,107,126,19,,,,,new favorite,407,424,17,tap below for details,127,114,-13,pants,153,112,-41,,,,,,,,,,,,,click to play,226,237,11,acne,55,53,-2,,,,
everyday comfort,267,278,11,,,,,tv remote,170,189,19,,,,,this winter,410,427,17,u.s. cities,128,115,-13,in style,106,53,-53,,,,,,,,,,,,,brain teaser,255,266,11,lymphatic drainage,124,122,-2,,,,
clothes,47,57,10,,,,,true love,196,215,19,,,,,watch this,412,429,17,disability benefits,76,61,-15,free gift,45,,,,,,,,,,,,,,,play today,260,271,11,ed medication,24,21,-3,,,,
1 free,63,73,10,,,,,get rewarded,209,228,19,,,,,natural hair,423,440,17,fill out the form,109,94,-15,valentinesday,91,,,,,,,,,,,,,,,log in,292,303,11,harder than you think,59,56,-3,,,,
buy now,74,84,10,,,,,all free,277,296,19,,,,,hypochlorous acid,441,458,17,check out,150,135,-15,shoes,97,,,,,,,,,,,,,,,chơi ngay,401,412,11,for daily,93,90,-3,,,,
handbag,111,121,10,,,,,make it,289,308,19,,,,,smudge-proof,446,463,17,pens,89,73,-16,get 20% off,137,,,,,,,,,,,,,,,download it,438,449,11,migraines,194,191,-3,,,,
dress pants,113,123,10,,,,,clap to find your phone,299,318,19,,,,,"thicker, fuller hair",447,464,17,flexible rent payments,117,101,-16,,,,,,,,,,,,,,,,,5 minutes,69,79,10,for women,36,32,-4,,,,
prescription glasses,118,128,10,,,,,more followers,340,359,19,,,,,the right,191,207,16,get started today,134,117,-17,,,,,,,,,,,,,,,,,strategy game,71,81,10,stethoscope,47,43,-4,,,,
waist trainer,122,132,10,,,,,get $50,353,372,19,,,,,get yours now,193,209,16,time insights,113,93,-20,,,,,,,,,,,,,,,,,dominate the battlefield,102,112,10,click the link,65,61,-4,,,,
elegant,129,139,10,,,,,remote control,378,397,19,,,,,holy grail,261,277,16,you deserve,74,53,-21,,,,,,,,,,,,,,,,,free play now,140,150,10,miss out,225,221,-4,,,,
buy one get,135,145,10,,,,,for a limited time,436,455,19,,,,,eyelashserum,281,297,16,hvac company,105,82,-23,,,,,,,,,,,,,,,,,actually a bit challenging,160,170,10,glow up,227,223,-4,,,,
buy one get one,136,146,10,,,,,send money,105,123,18,,,,,30% off,286,302,16,hvac companies,110,86,-24,,,,,,,,,,,,,,,,,playing games,181,191,10,stress,78,73,-5,,,,
widelegpants,230,240,10,,,,,try for free,174,192,18,,,,,tiktok shop discount sale,393,409,16,struggling,167,142,-25,,,,,,,,,,,,,,,,,code: deerhunter,247,257,10,gel,81,76,-5,,,,
70%off,307,317,10,,,,,find your phone,355,373,18,,,,,teethwhitening #whiteteeth,405,421,16,make it,151,124,-27,,,,,,,,,,,,,,,,,grow your,351,361,10,probiotics,12,6,-6,,,,
denimjeans,376,386,10,,,,,download this,463,481,18,,,,,79%off only today,406,422,16,need paving,106,,,,,,,,,,,,,,,,,,,love it,440,450,10,buy now,26,20,-6,,,,
cloth,43,52,9,,,,,for free today,464,482,18,,,,,perfect gift,414,430,16,professional line drawing,169,,,,,,,,,,,,,,,,,,,download for fun and free,450,460,10,this video,66,60,-6,,,,
two piece,264,273,9,,,,,quick & easy,55,72,17,,,,,visible results,421,437,16,,,,,,,,,,,,,,,,,,,,,the battlefield,96,105,9,womenshealth,200,194,-6,,,,
hats,121,129,8,,,,,3 items,117,134,17,,,,,be careful,430,446,16,,,,,,,,,,,,,,,,,,,,,every day,108,117,9,bpn,64,57,-7,,,,
lounge set,297,305,8,,,,,try our,176,193,17,,,,,dead skin,431,447,16,,,,,,,,,,,,,,,,,,,,,download the,138,147,9,find out,145,138,-7,,,,
cowgirlboots,351,359,8,,,,,your friends,185,202,17,,,,,straight wig,455,471,16,,,,,,,,,,,,,,,,,,,,,simulator,144,153,9,the test,167,160,-7,,,,
gold,15,22,7,,,,,starts here,193,210,17,,,,,use this,195,210,15,,,,,,,,,,,,,,,,,,,,,epic 2025 game,347,356,9,orange,203,196,-7,,,,
back in stock,90,97,7,,,,,try out,220,237,17,,,,,lip gloss,266,281,15,,,,,,,,,,,,,,,,,,,,,earn extra money,382,391,9,weekly dose,48,40,-8,,,,
time offer,150,157,7,,,,,enjoy singing from today,273,290,17,,,,,press on nails,284,299,15,,,,,,,,,,,,,,,,,,,,,best mmorpg game,453,462,9,right now,77,69,-8,,,,
get yours today,207,214,7,,,,,the next level,368,385,17,,,,,spots,306,321,15,,,,,,,,,,,,,,,,,,,,,the toilet,61,69,8,see if you qualify,139,131,-8,,,,
click to,209,216,7,,,,,listen up,369,386,17,,,,,oil,346,361,15,,,,,,,,,,,,,,,,,,,,,everyone go play,82,90,8,book a free consultation,157,149,-8,,,,
diabetes,242,249,7,,,,,photos and videos,373,390,17,,,,,double wear,403,418,15,,,,,,,,,,,,,,,,,,,,,fall asleep,98,106,8,check the,54,45,-9,,,,
watch out,245,252,7,,,,,ask anything,468,485,17,,,,,huge sale,418,433,15,,,,,,,,,,,,,,,,,,,,,free download,124,132,8,watch this,92,83,-9,,,,
flash sale,28,34,6,,,,,stop scrolling,89,105,16,,,,,tap to,420,435,15,,,,,,,,,,,,,,,,,,,,,football game,196,204,8,15% off,165,156,-9,,,,
all day,40,46,6,,,,,try listening to books today,93,109,16,,,,,amazing discount,429,444,15,,,,,,,,,,,,,,,,,,,,,many levels can you pass,253,261,8,take the test,170,161,-9,,,,
size small,104,110,6,,,,,meet up,94,110,16,,,,,wig grip,457,472,15,,,,,,,,,,,,,,,,,,,,,game now,58,65,7,amazing deal,44,34,-10,,,,
push up bra,292,298,6,,,,,free today,103,119,16,,,,,4 free gifts,36,50,14,,,,,,,,,,,,,,,,,,,,,now for free,64,71,7,vitamins,58,48,-10,,,,
stylish,46,51,5,,,,,for real,135,151,16,,,,,cosmetics,238,252,14,,,,,,,,,,,,,,,,,,,,,casual fun,78,85,7,antiaging,95,85,-10,,,,
engagement rings,57,62,5,,,,,use code,163,179,16,,,,,drying lotion,451,465,14,,,,,,,,,,,,,,,,,,,,,try it now for free,88,95,7,pcos,117,107,-10,,,,
get yours,64,69,5,,,,,this game mocks me,200,216,16,,,,,hairgrowth #antihairfall,452,466,14,,,,,,,,,,,,,,,,,,,,,never die,134,141,7,feel better,130,120,-10,,,,
pink,65,70,5,,,,,stress-free,202,218,16,,,,,in men,179,192,13,,,,,,,,,,,,,,,,,,,,,at night,355,362,7,free shipping,16,5,-11,,,,
best-selling,69,74,5,,,,,start watching,255,271,16,,,,,bask and lather,180,193,13,,,,,,,,,,,,,,,,,,,,,can you beat this level,386,393,7,natural prostate relief gel,112,100,-12,,,,
jelly bra,89,94,5,,,,,that free,362,378,16,,,,,uk's most awarded natural deodorant,181,194,13,,,,,,,,,,,,,,,,,,,,,explore new wasteland gameplay,389,396,7,start now,133,121,-12,,,,
miss out,114,119,5,,,,,download the app today,441,457,16,,,,,long-lasting,183,196,13,,,,,,,,,,,,,,,,,,,,,made it,458,465,7,skincare,88,75,-13,,,,
make it,239,244,5,,,,,the link in bio,443,459,16,,,,,eye cream,39,51,12,,,,,,,,,,,,,,,,,,,,,relieving stress and fatigue,52,58,6,helped me,212,199,-13,,,,
get yours now,256,261,5,,,,,the test,444,460,16,,,,,laser dark spot removal,75,87,12,,,,,,,,,,,,,,,,,,,,,stress and fatigue,53,59,6,self-care,214,201,-13,,,,
oversizedhoodie,279,284,5,,,,,watch more for free,183,198,15,,,,,every day,76,88,12,,,,,,,,,,,,,,,,,,,,,no one can pass,94,100,6,gummy,37,23,-14,,,,
eyewear,301,306,5,,,,,try listening to books,190,205,15,,,,,under eye,96,108,12,,,,,,,,,,,,,,,,,,,,,try to,103,109,6,gummies,38,24,-14,,,,
49% off,347,352,5,,,,,clap to find,377,392,15,,,,,fragrancetiktok,114,126,12,,,,,,,,,,,,,,,,,,,,,no wifi,127,133,6,hearing aids,101,87,-14,,,,
up to 50 % off,148,152,4,,,,,60 % off,471,486,15,,,,,for women,37,48,11,,,,,,,,,,,,,,,,,,,,,free spins,128,134,6,better sleep,86,70,-16,,,,
3 pack,234,238,4,,,,,"25¢ or $8,000",162,176,14,,,,,live now,112,123,11,,,,,,,,,,,,,,,,,,,,,slow down,142,148,6,crazy deal,140,124,-16,,,,
denim,9,12,3,,,,,credit check,46,59,13,,,,,stock up,120,131,11,,,,,,,,,,,,,,,,,,,,,craft stunning gems,457,463,6,rainbow light vitamins,234,218,-16,,,,
limited time,36,39,3,,,,,try it for free,238,251,13,,,,,at any time,208,219,11,,,,,,,,,,,,,,,,,,,,,free to get,68,73,5,free consultation today,109,92,-17,,,,
seamlessbra,38,41,3,,,,,watch live,481,494,13,,,,,en descuento hoy,212,223,11,,,,,,,,,,,,,,,,,,,,,try it now,106,111,5,shilajit,96,77,-19,,,,
frames,60,63,3,,,,,meet new friends,483,496,13,,,,,whitening toothpaste,213,224,11,,,,,,,,,,,,,,,,,,,,,no ads,121,126,5,try this,51,31,-20,,,,
panties,84,87,3,,,,,free on,251,263,12,,,,,hair balm,214,225,11,,,,,,,,,,,,,,,,,,,,,sign up,137,142,5,drop inches feel powerful,232,211,-21,,,,
buy 2 get,97,100,3,,,,,lock screen,254,266,12,,,,,blackfridaydeals,222,233,11,,,,,,,,,,,,,,,,,,,,,playing this game,139,144,5,gut health,85,63,-22,,,,
maxi dress,160,163,3,,,,,bible verses,478,490,12,,,,,get started,105,115,10,,,,,,,,,,,,,,,,,,,,,game of the year,250,255,5,take control,129,106,-23,,,,
check out,232,235,3,,,,,up to 60%off,480,492,12,,,,,any time,207,217,10,,,,,,,,,,,,,,,,,,,,,ready to run your casino,436,441,5,digestive enzymes,228,205,-23,,,,
must have,260,263,3,,,,,ai filters,86,97,11,,,,,summer,43,52,9,,,,,,,,,,,,,,,,,,,,,save the world from zombies,437,442,5,free trial,177,153,-24,,,,
grab it,285,288,3,,,,,free app,58,68,10,,,,,clinically proven,68,77,9,,,,,,,,,,,,,,,,,,,,,discover why,33,37,4,supplements,87,62,-25,,,,
footwear,346,349,3,,,,,best digital filters app,71,81,10,,,,,winter,69,78,9,,,,,,,,,,,,,,,,,,,,,casual mini-games,45,49,4,full-size,143,117,-26,,,,
grab yours today,409,412,3,,,,,digital filters app,72,82,10,,,,,pink,162,171,9,,,,,,,,,,,,,,,,,,,,,this game is harder,62,66,4,great deal today,206,179,-27,,,,
black friday,21,23,2,,,,,livestreaming social app,92,102,10,,,,,get yours,221,230,9,,,,,,,,,,,,,,,,,,,,,left or right,93,97,4,black friday,116,88,-28,,,,
shopblackfriday,54,56,2,,,,,chat now,122,132,10,,,,,check the,41,49,8,,,,,,,,,,,,,,,,,,,,,100% free game,99,103,4,blood sugar,193,164,-29,,,,
must-have,131,133,2,,,,,this series is so incredible,211,221,10,,,,,love it,64,72,8,,,,,,,,,,,,,,,,,,,,,free virtual coins,135,139,4,current price,155,125,-30,,,,
use code: ae15,202,204,2,,,,,first reading for free,267,277,10,,,,,real hair,248,256,8,,,,,,,,,,,,,,,,,,,,,challenge now,188,192,4,laser treatment clinic,127,95,-32,,,,
for spring and summer,220,222,2,,,,,now for free,33,42,9,,,,,dry shampoo,78,85,7,,,,,,,,,,,,,,,,,,,,,gift code,189,193,4,glowing skin,229,195,-34,,,,
silver,262,264,2,,,,,fun ai filters,43,52,9,,,,,lip liner,91,98,7,,,,,,,,,,,,,,,,,,,,,sign up and start playing,252,256,4,any time,166,130,-36,,,,
winter,14,15,1,,,,,install now,68,77,9,,,,,thinning hair,122,129,7,,,,,,,,,,,,,,,,,,,,,mmorpg,425,429,4,at any time,168,132,-36,,,,
hoodies,26,27,1,,,,,curious about someone,70,79,9,,,,,make you more confident,235,242,7,,,,,,,,,,,,,,,,,,,,,win real money,39,42,3,try before,187,151,-36,,,,
cotton,30,31,1,,,,,get started,133,142,9,,,,,4 free,97,103,6,,,,,,,,,,,,,,,,,,,,,"free, free",42,45,3,try before you buy,188,152,-36,,,,
bras,44,45,1,,,,,first order,147,156,9,,,,,lip oil,128,134,6,,,,,,,,,,,,,,,,,,,,,i can’t stop playing,54,57,3,check the product,171,134,-37,,,,
pajamas,67,68,1,,,,,your first order,149,158,9,,,,,skin barrier,141,147,6,,,,,,,,,,,,,,,,,,,,,giftcode: rokvictory,89,92,3,ashwagandha,122,84,-38,,,,
amazing deal,158,159,1,,,,,ai app,158,167,9,,,,,bb cream,142,148,6,,,,,,,,,,,,,,,,,,,,,unlock fun,132,135,3,check the product page,182,144,-38,,,,
limited time offer,184,185,1,,,,,try this app,195,204,9,,,,,join now,228,234,6,,,,,,,,,,,,,,,,,,,,,sharpen your mind,430,433,3,joint pain,213,175,-38,,,,
one pair,288,289,1,,,,,go live,233,242,9,,,,,hair loss,28,33,5,,,,,,,,,,,,,,,,,,,,,endless fun,27,29,2,shopblackfriday,208,169,-39,,,,
glasses,1,1,0,,,,,edit photos and videos,248,257,9,,,,,at home,59,64,5,,,,,,,,,,,,,,,,,,,,,all day,31,33,2,e27 bottle,136,96,-40,,,,
sunglass,2,2,0,,,,,free trial,38,46,8,,,,,skin care,62,67,5,,,,,,,,,,,,,,,,,,,,,make it,41,43,2,ladies,195,155,-40,,,,
casual,3,3,0,,,,,dating app,61,69,8,,,,,this video,84,89,5,,,,,,,,,,,,,,,,,,,,,think it's easy,66,68,2,buy flash sale discount,100,55,-45,,,,
sweatpants,6,6,0,,,,,dating,62,70,8,,,,,best razor ever,201,206,5,,,,,,,,,,,,,,,,,,,,,come and try it yourself,81,83,2,moringa,202,143,-59,,,,
earrings,7,7,0,,,,,click to see,63,71,8,,,,,wonderful deal,31,35,4,,,,,,,,,,,,,,,,,,,,,can you solve this,87,89,2,creatine,180,110,-70,,,,
oversized,8,8,0,,,,,find the,66,74,8,,,,,70% off,49,53,4,,,,,,,,,,,,,,,,,,,,,cape,116,118,2,grab your,150,,,,,,
